Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
North Lincolnshire,E06000013,Upper tier local authority,2020-04-30,7,NA,NA,366,NA,NA
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-30,7,NA,NA,611,NA,NA
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-30,6,NA,NA,462,NA,NA
Blackpool,E06000009,Upper tier local authority,2020-04-30,3,NA,NA,452,NA,NA
Blackburn with Darwen,E06000008,Upper tier local authority,2020-04-30,2,NA,NA,321,NA,NA
Warrington,E06000007,Upper tier local authority,2020-04-30,6,NA,NA,626,NA,NA
Halton,E06000006,Upper tier local authority,2020-04-30,1,NA,NA,325,NA,NA
Darlington,E06000005,Upper tier local authority,2020-04-30,3,NA,NA,287,NA,NA
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-30,1,NA,NA,362,NA,NA
Middlesbrough,E06000002,Upper tier local authority,2020-04-30,3,NA,NA,559,NA,NA
England,E92000001,Nation,2020-04-29,1722,792,930,122040,120529,1511
South West,E12000009,Region,2020-04-29,109,NA,NA,6354,NA,NA
South East,E12000008,Region,2020-04-29,172,NA,NA,17224,NA,NA
London,E12000007,Region,2020-04-29,191,NA,NA,24637,NA,NA
East of England,E12000006,Region,2020-04-29,135,NA,NA,10715,NA,NA
West Midlands,E12000005,Region,2020-04-29,214,NA,NA,13335,NA,NA
East Midlands,E12000004,Region,2020-04-29,95,NA,NA,6938,NA,NA
Yorkshire and The Humber,E12000003,Region,2020-04-29,189,NA,NA,10449,NA,NA
North West,E12000002,Region,2020-04-29,344,NA,NA,19334,NA,NA
North East,E12000001,Region,2020-04-29,199,NA,NA,7837,NA,NA
Worcestershire,E10000034,Upper tier local authority,2020-04-29,16,NA,NA,1160,NA,NA
West Sussex,E10000032,Upper tier local authority,2020-04-29,24,NA,NA,1152,NA,NA
Warwickshire,E10000031,Upper tier local authority,2020-04-29,21,NA,NA,1185,NA,NA
Surrey,E10000030,Upper tier local authority,2020-04-29,20,NA,NA,2588,NA,NA
Suffolk,E10000029,Upper tier local authority,2020-04-29,11,NA,NA,1071,NA,NA
Staffordshire,E10000028,Upper tier local authority,2020-04-29,25,NA,NA,1744,NA,NA
Somerset,E10000027,Upper tier local authority,2020-04-29,19,NA,NA,506,NA,NA
Oxfordshire,E10000025,Upper tier local authority,2020-04-29,8,NA,NA,1559,NA,NA
Nottinghamshire,E10000024,Upper tier local authority,2020-04-29,28,NA,NA,1125,NA,NA
North Yorkshire,E10000023,Upper tier local authority,2020-04-29,32,NA,NA,962,NA,NA
Northamptonshire,E10000021,Upper tier local authority,2020-04-29,11,NA,NA,1045,NA,NA
Norfolk,E10000020,Upper tier local authority,2020-04-29,43,NA,NA,1557,NA,NA
Lincolnshire,E10000019,Upper tier local authority,2020-04-29,12,NA,NA,849,NA,NA
Leicestershire,E10000018,Upper tier local authority,2020-04-29,19,NA,NA,941,NA,NA
Lancashire,E10000017,Upper tier local authority,2020-04-29,33,NA,NA,2815,NA,NA
Kent,E10000016,Upper tier local authority,2020-04-29,21,NA,NA,3369,NA,NA
Hertfordshire,E10000015,Upper tier local authority,2020-04-29,32,NA,NA,2309,NA,NA
Hampshire,E10000014,Upper tier local authority,2020-04-29,35,NA,NA,2786,NA,NA
